id,dimension,severity,title,location,root_cause,proposed_fix,status,commit,verification
AUD-004,build/quality,critical,"AndroidManifest.xml XML comment contains illegal double hyphen: all Android builds fail",android/app/src/main/AndroidManifest.xml:4,"Comment contained `--` (flutter build apk --release); XML forbids `--` in comments so ManifestMerger threw SAXParseException and every Android build failed.","Reword comment to remove the `--` sequence.",fixed,e7f3839,"flutter build apk --debug exit 0; APK built (was exit 1 ManifestMerger2.MergeFailureException)"
AUD-003,code_quality,high,"Truncated test file: admin customer-directory test has no main()",test/features/admin/data/admin_customer_directory_test.dart:1-86,"File has imports/doc/mocks but no main(); dart test reports 'Missing definition of main method'; produced all 4 baseline analyzer warnings; the documented profiles.email regression was unguarded.","Reconstruct main() with exact-column fetchCustomers tests and RPC-based getOrderDetails tests.",fixed,ded0bb4,"5/5 tests pass; flutter analyze clean (4 warnings removed)"
AUD-001,code_quality,high,"App-lock tests never provided a Directionality ancestor (8/8 failed)",test/shared/components/app_lock_gate_test.dart:23-27,"Harness pumped AppLockGate with a raw Scaffold with no MaterialApp/Directionality ancestor; every test threw 'No Directionality widget found'.","Wrap the pumped tree in MaterialApp.",fixed,9884592,"8/8 tests pass (baseline 0/8)"
AUD-002,security,high,"App-lock sign-out escape caught only Exception; a thrown Error crashed the lock screen instead of staying fail-closed",lib/shared/components/app_lock_gate.dart:143-151,"Contract: failed sign-out keeps app locked. `on Exception` did not catch Error (StateError), which escaped unawaited() as an unhandled async error and crashed the lock screen.","Catch Object at the boundary, log, and return without unlocking.",fixed,9884592,"no-bypass test passes; lock retained"
AUD-006,performance,medium,"PaymentStatusWatcher never closed its StreamController on unsubscribe",lib/features/payments/data/payment_status_watcher.dart:143-147,"onCancel cancelled the timer/channel but never closed the controller, so it survived until GC per payment watch.","Close the controller in onCancel (isClosed-guarded).",fixed,f8c6f45,"flutter analyze clean; 105 payment tests pass"
AUD-005,code_quality,low,"dart format drift across 7 files (4 first-party lib files)","lib/app.dart, lib/features/admin/presentation/pages/admin_customers_page.dart, lib/features/storefront/data/supabase_catalog_repository.dart, +4 test files","Edits landed without running dart format; formatter gate red and diff noise added.","Run dart format over lib and test.",fixed,e78ca6e,"dart format --set-exit-if-changed exit 0"
AUD-010,code_quality,low,"Stale TODO claiming cached_network_image still needs adding",lib/features/storefront/data/product_mapper.dart:82,"TODO referenced work already delivered by ProductImageResolver/AppImage (CachedNetworkImage).","Remove the TODO; point to where caching lives.",fixed,5d494ae,"flutter analyze clean; storefront tests pass"
AUD-008,security,medium,"Admin customer directory filtered by RLS because the referenced 061 policy migration does not exist",lib/features/admin/data/supabase_admin_repository.dart (fetchCustomers); supabase/migrations (no 061),"profiles grants SELECT only for auth.uid()=id, so the directory shows only the caller's row; no leak, but silent under-reporting. Referenced proposal file was absent.","Ship review-gated SQL proposal adding an admin-only SELECT policy (SECURITY DEFINER helper).",migration-shipped-db-apply-pending,445d3fa,"Owner chose route (a); supabase/migrations/061_admin_profiles_read.sql now exists with provenance notes. Not applied to any DB (config.toml pinned to production-parity ref) - apply on staging and verify the admin Customers list."
AUD-009,maintainability,low,"Unpinned dependency constraint `http: any` in dev_dependencies",pubspec.yaml:47,"`any` accepts future majors; a fresh pub get can pull breaking releases and bypasses the repo's pinning discipline.","Pin to ^1.2.0 or remove if unused.",fixed,48462d9,"pubspec.yaml pins http: ^1.2.0; gates re-proven on the merge head (analyze 0, 888/888, APK builds)"
AUD-011,maintainability,low,"Documented TODO requires a schema field to resolve (catalog colour names)",lib/features/storefront/domain/entities/catalog_filters.dart:28-40,"catalogColorName maps hardcoded ARGB ints; the fix needs a Product.colorName column (DB decision).","Add products.color_name / lookup table and read via mapper, keeping the 'Other' fallback.",documented-residual,,"Fallback `?? 'Other'` confirmed present"
